prodnombre,kg_por_bolsa,bolsas_cerradas,kg_abiertos
9 VIDAS GATO ADULTO x15kg (ATÚN O CARNE) (EL CHOIQUE),"15,00",1,
9 VIDAS KITTEN x8kg (EL CHOIQUE),"8,00",1,
AGILITY DERMA 15 KG (SALADILLO),"15,00",1,
AGILITY DERMA 3 KG (SALADILLO),"3,00",1,
AGILITY GATO ADULTO x1,5kg (SALADILLO),"1,50",1,
AGILITY GATO ADULTO x10kg (SALADILLO),"10,00",1,
AGILITY KITTEN x1,5kg (SALADILLO),"1,50",1,
AGILITY KITTEN x10kg (SALADILLO),"10,00",1,
AGILITY PERRO ADULTO RP x15kg (SALADILLO),"15,00",1,
AGILITY PERRO ADULTO RP Y RG x3kg (SALADILLO),"3,00",1,
AGILITY PERRO ADULTO x20kg (SALADILLO),"20,00",1,
AGILITY PERRO CACHORRO x15kg (SALADILLO),"15,00",1,
AGILITY PERRO CACHORRO x3kg (SALADILLO),"3,00",1,
"AGILITY URINARY x1,5kg (SALADILLO)","1,50",1,
AGILITY URINARY x10kg (SALADILLO),"10,00",1,
"AGILTY GATO CTROL PESO x1,5kg (SALADILLO)","1,50",1,
AGILTY GATO CTROL PESO x10kg (SALADILLO),"10,00",1,
AMICI ADULTO RAZA PEQUEÑA,"20,00",1,
AMICI ADULTO RAZA PEQUEÑA,"9,00",1,
AMICI GATO ADULTO MIX X 10 KG (EL CHOIQUE),"10,00",1,
ARENA AGLUTINANTE PREMIUM X25kg (DISTRIBUIDORA MAIPU),"25,00",1,
ARROZ PREMIUM (SALADILLO) x15kg,"15,00",1,
BACAN ADULTO X 21 KG,"21,00",1,
BALANCED CACHORRO RM x12kg (VITAL CAN),"12,00",1,
BALANCED GATO ADULTO x2 KG (VITAL CAN),"2,00",1,
"BALANCED GATO ADULTO x7,5kg (VITAL CAN)","7,50",1,
BALANCED GATO CTROL PESO-CASTRADO 2 KG,"2,00",1,
BALANCED GATO KITTEN 2 KG,"2,00",1,
"BALANCED GATO SENIOR x7,5kg (VITAL CAN)","7,50",1,
"BALANCED KITTEN x7,5kg (VITAL CAN)","7,50",1,
BALANCED NATURAL RECIPE CORDERO x15kg (VITAL CAN),"15,00",1,
BALANCED NATURAL RECIPE CORDERO x3kg (VITAL CAN),"3,00",1,
BALANCED PERRO ADUL RG x20kg (VITAL CAN),"20,00",1,
BALANCED PERRO ADUL RM x20kg (VITAL CAN),"20,00",1,
BALANCED PERRO ADUL RP x15kg (VITAL CAN),"15,00",1,
"BALANCED PERRO ADUL RP x7,5kg  (VITAL CAN)","7,5",1,
BALANCED PERRO ADULTO RM x12kg (VITAL CAN),"12,00",1,
BALANCED PERRO ADULTO RM x3kg (VITAL CAN),"3,00",1,
BALANCED PERRO ADULTO RP x3kg (VITAL CAN),"3,00",1,
BALANCED PERRO CACHO RG x20kg (VITAL CAN),"20,00",1,
BALANCED PERRO CACHO RM x20kg (VITAL CAN),"20,00",1,
"BALANCED PERRO CACHO RP x7,5kg (VITAL CAN)","7,5",1,
BALANCED SENIOR RAZA GRANDE x15kg (VITAL CAN),"15,00",1,
BALANCED SENIOR RP x3kg (VITAL CAN),"3,00",1,
BELCAN ADULTO x22kg  (VITAL CAN),"22,00",1,
BELCAN JUNIOR x15kg (VITAL CAN),"15,00",1,
Belcat x 10 Kg,"10,00",1,
BIOMAX GATO ADULTO X10KG (DISTRIBUIDORA MAIPÚ),"10,00",1,
BIOMAX PERRO ADULTO RGx20kg (DISTRIBUIDORA MAIPÚ),"20,00",1,
BIOMAX PERRO ADULTO RP x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
BIOMAX PERRO CACHO x15kg (DISTRIBUIDORA MAIPÚ),"15,00",1,
BIOPET PREMIUM ADULTO RP X 15 KG (EL CHOIQUE),"15,00",1,
BIOPET PREMIUM ADULTO X 20 KG (EL CHOIQUE),"20,00",1,
BONELO ADULTO 20KG,"20,00",1,
CANFEED ADULTO MEDIANO x3kg (ENCO),"3,00",1,
CANFEED Adulto Small SSB x 3 kg (ENCO),"3,00",1,
"CANFEED Adulto Small SSB x 7,5 kg (ENCO)","7,50",1,
CANFEED ADULTO x15kg (ENCO),"15,00",1,
CANFEED ADULTO x20kg (ENCO),"20,00",1,
CANFEED CACHORRO x15kg (ENCO),"15,00",1,
CANFEED CACHORRO x20kg (ENCO),"20,00",1,
CANFEED CACHORRO x3kg (ENCO),"3,00",1,
CANFEED LIGHT x3kg (ENCO),"3,00",1,
CAT SELEC. ET. NEGRA  Indoor/Sterilized 2 kg,"2,00",1,
CAT SELEC. ET. NEGRA Kitten 2 kg,"2,00",1,
CAT SELECTION EN URINARY X10KG,"10,00",1,
CAT SELECTION EN URINARY X2KG,"2,00",1,
CAT SELECTION x10kg (SALADILLO),"10,00",1,
CATCHOW GATITO x15kg (GOMENSORO),"15,00",1,
CATCHOW GATO ADULTO x 8kg (GOMENSORO),"8,00",1,
CATCHOW GATO ADULTO x15kg (GOMENSORO),"15,00",1,
CATFEED Gato Adulto x 20 Kg (ENCO),"20,00",1,
CATFEED Gato Adulto x 3 kg (ENCO),"3,00",1,
"CATFEED Gato Adulto x 7,5 Kg (ENCO)","7,50",1,
CATFEED Gato Esterilizado + Control Peso x 3 kg (ENCO),"3,00",1,
"CATFEED Gato Esterilizado + Control Peso x 7,5 kg (ENCO)","7,50",1,
CATFEED Kitten Gato Cachorro x 3 kg (ENCO),"3,00",1,
"CATFEED Kitten Gato Cachorro x 7,5 kg (ENCO)","7,50",1,
CHUMBALE PERRO ADULTO X 21 KG,"21,00",1,
COMPANY ADULTO X 20 KG (GOMENSORO),"20,00",1,
COMPANY CACHORRO X 20 KG (GOMENSORO),"20,00",1,
COMPANY GATITO X 3 KG (GOMENSORO),"3,00",1,
COMPANY GATO X 15 KG (GOMENSORO),"15,00",1,
COMPANY GATO X 3 KG (GOMENSORO),"3,00",1,
COMPINCHE GATO 20 KG,"20,00",1,
Complete Gato Adulto 1.5 Kg,"1,50",1,
Complete Gato Adulto 7.5 Kg,"7,50",1,
"COMPLETE GATO ADULTO CONTRL. PESO x7,5kg (VITAL CAN)","7,50",1,
Complete Gato Adulto Safety Pack x 24 Kg,"24,00",1,
Complete Gato Adulto Urinary Care 1.5Kg,"1,50",1,
Complete Gato Adulto Urinary Care 7.5Kg,"7,50",1,
COMPLETE GATO ADULTO x15kg (VITAL CAN),"15,00",1,
Complete Gato Control Peso/Castrado 1.5 Kg,"1,50",1,
"COMPLETE GATO CTRO PESO 1,5 KG","1,50",1,
Complete Gato Kitten 1.5 Kg,"1,50",1,
Complete Gato Kitten 15 kg,"15,00",1,
Complete Gato Senior 1.5 Kg,"1,50",1,
"COMPLETE GATO SENIOR x7,5kg (VITAL CAN)","7,50",1,
"COMPLETE KITTEN x7,5 kg (VITAL CAN)","7,50",1,
Complete Perro Adulto Raza Mediana y Grande 20 Kg,"20,00",1,
Complete Perro Adulto Raza Mediana y Grande 3 Kg,"3,00",1,
COMPLETE PERRO ADULTO RP x20kg (VITAL CAN),"20,00",1,
COMPLETE PERRO ADULTO RP x3kg (VITAL CAN),"3,00",1,
"COMPLETE PERRO ADULTO RP x7,5kg (VITAL CAN)","7,50",1,
Complete Perro Adulto Safety x 24 kg,"24,00",1,
Complete Perro Cachorro Raza Mediana y Grande 20 Kg,"20,00",1,
Complete Perro Cachorro Raza Mediana y Grande 3 Kg,"3,00",1,
Complete Perro Cachorro Raza Pequeña 20 Kg,"20,00",1,
Complete Perro Cachorro Raza Pequeña 3 Kg,"3,00",1,
"Complete Perro Cachorro Raza Pequeña 7,5 Kg","7,50",1,
Complete Perro Control Peso 20 Kg,"20,00",1,
Complete Perro Control Peso 3 Kg,"3,00",1,
Complete Perro Senior All Breeds 3 Kg,"3,00",1,
COMPLETE PERRO SENIOR ALL BREEDS x20kg (VITAL CAN),"20,00",1,
Complete Perro Senior Razas Pequeñas 3Kg,"3,00",1,
Complete Perro Senior Razas Pequeñas 7.5Kg,"7,50",1,
CONEJO 3 MM X25 KG (SALADILLO),"25,00",1,
CRIADORES BAIRES ADULTO X 22 KG,"22,00",1,
DOG SELECTION ADULTO ETIQUETA NEGRA x21kg (SALADILLO) (EL CHOIQUE),"21,00",1,
DOG SELECTION CRIADORES ADUL RG x21kg (SALADILLO) (EL CHOIQUE),"21,00",1,
DOG SELECTION CRIADORES ADUL RG x8kg (SALADILLO) (EL CHOIQUE),"8,00",1,
